game_date,home_points,away_points,home_possessions,away_possessions,home_id,away_id,winner_id,season_id
2012-11-03,85,95,102,102,9,16,16,4
2012-11-07,87,93,96,96,9,26,26,4
2012-11-10,96,82,95,94,9,4,9,4
2012-11-12,110,113,94,94,9,24,24,4
2012-11-14,100,96,92,91,9,19,9,4
2012-11-21,93,89,99,98,9,25,9,4
2012-11-23,131,103,99,100,9,7,9,4
2012-11-27,117,101,95,94,9,8,9,4
2012-12-01,124,116,99,99,9,17,9,4
2012-12-04,107,105,98,99,9,27,9,4
2012-12-08,109,116,101,100,9,23,23,4
2012-12-10,126,134,113,114,9,10,10,4
2012-12-12,99,93,99,100,9,15,9,4
2012-12-14,101,89,97,96,9,1,9,4
2012-12-19,125,103,95,93,9,14,9,4
2012-12-22,121,96,98,98,9,21,9,4
2012-12-29,94,124,110,111,9,29,29,4
2012-12-31,123,104,99,98,9,30,9,4
2013-01-02,104,92,92,91,9,19,9,4
2013-01-08,125,112,102,100,9,27,9,4
2013-01-15,109,117,91,92,9,12,12,4
2013-01-23,95,105,97,96,9,26,26,4
2013-01-26,119,106,93,93,9,22,9,4
2013-02-02,109,95,93,94,9,3,9,4
2013-02-05,140,109,97,98,9,2,9,4
2013-02-08,118,103,91,90,9,16,9,4
2013-02-20,122,119,108,108,9,29,9,4
2013-02-27,107,110,102,103,9,18,18,4
2013-03-03,136,103,98,96,9,23,9,4
2013-03-13,111,81,100,98,9,13,9,4
2013-03-15,108,100,93,93,9,20,9,4
2013-03-17,78,108,96,95,9,2,2,4
2013-03-20,100,93,94,94,9,17,9,4
2013-03-22,116,78,97,95,9,28,9,4
2013-03-24,96,95,92,93,9,10,9,4
2013-03-27,91,100,91,90,9,5,5,4
2013-03-30,98,81,95,95,9,12,9,4
2013-04-01,111,103,94,95,9,6,9,4
2013-04-09,101,98,96,95,9,13,9,4
2013-04-12,78,83,86,87,9,21,21,4
2013-04-14,121,100,103,101,9,11,9,4
2012-10-31,96,105,95,97,4,9,9,4
2012-11-12,90,92,89,88,4,29,29,4
2012-11-16,106,110,96,96,4,6,6,4
2012-11-18,103,83,93,91,4,1,4,4
2012-11-23,91,90,89,89,4,8,4,4
2012-11-26,108,101,91,91,4,16,4,4
2012-11-28,117,77,93,94,4,13,4,4
2012-12-03,89,79,88,88,4,28,4,4
2012-12-05,97,104,91,92,4,2,2,4
2012-12-07,104,108,86,86,4,25,25,4
2012-12-11,94,101,94,96,4,26,26,4
2012-12-15,77,88,84,85,4,5,5,4
2012-12-17,76,88,85,85,4,12,12,4
2012-12-21,100,68,90,89,4,15,4,4
2012-12-28,109,99,86,87,4,24,4,4
2012-12-30,96,94,87,88,4,18,4,4
2013-01-01,103,97,90,91,4,11,4,4
2013-01-04,85,84,91,91,4,30,4,4
2013-01-06,101,108,96,96,4,3,3,4
2013-01-12,87,90,84,84,4,17,17,4
2013-01-17,87,102,91,90,4,7,7,4
2013-01-20,103,88,102,102,4,1,4,4
2013-01-22,105,90,92,92,4,6,4,4
2013-01-29,90,117,94,95,4,18,18,4
2013-02-01,117,99,99,100,4,28,4,4
2013-02-03,97,98,98,99,4,27,27,4
2013-02-06,90,93,88,89,4,22,22,4
2013-02-08,119,109,92,92,4,10,4,4
2013-02-11,86,105,93,94,4,19,19,4
2013-02-13,96,85,91,91,4,15,4,4
2013-02-19,91,105,90,92,4,21,21,4
2013-02-23,72,90,91,92,4,5,5,4
2013-02-25,103,114,97,98,4,30,30,4
2013-03-06,77,87,88,90,4,7,7,4
2013-03-08,99,102,92,91,4,23,23,4
2013-03-18,82,119,86,86,4,22,22,4
2013-03-26,82,105,87,89,4,20,20,4
2013-03-29,82,99,86,86,4,8,8,4
2013-04-07,99,85,87,86,4,25,4,4
2013-04-12,113,93,94,94,4,3,4,4
2013-04-15,109,101,94,94,4,14,4,4
2012-10-31,85,87,92,93,13,2,2,4
2012-11-02,92,89,91,92,13,4,13,4
2012-11-09,107,105,99,99,13,28,13,4
2012-11-12,110,100,91,91,13,26,13,4
2012-11-14,106,112,100,101,13,25,25,4
2012-11-17,88,97,93,95,13,24,24,4
2012-11-21,114,87,90,91,13,16,13,4
2012-11-23,111,108,94,93,13,19,13,4
2012-12-06,94,97,94,93,13,23,23,4
2012-12-09,90,98,92,93,13,6,6,4
2012-12-12,82,80,82,82,13,21,13,4
2012-12-14,99,84,91,90,13,17,13,4
2012-12-17,101,90,92,92,13,11,13,4
2012-12-19,121,104,92,92,13,3,13,4
2012-12-23,77,103,94,95,13,12,12,4
2012-12-26,97,99,93,94,13,7,7,4
2013-01-02,95,89,93,95,13,14,13,4
2013-01-04,80,87,92,90,13,17,17,4
2013-01-06,81,92,87,88,13,21,21,4
2013-01-14,90,102,92,92,13,29,29,4
2013-01-17,94,98,102,103,13,18,18,4
2013-01-24,93,88,94,94,13,12,13,4
2013-01-30,92,86,92,93,13,27,13,4
2013-02-01,99,109,100,98,13,23,23,4
2013-02-10,69,97,95,96,13,29,29,4
2013-02-22,88,113,92,93,13,1,1,4
2013-02-24,87,97,98,98,13,10,10,4
2013-02-26,84,83,100,100,13,20,13,4
2013-03-01,92,87,92,94,13,30,13,4
2013-03-06,71,98,94,95,13,8,8,4
2013-03-09,107,105,95,95,13,9,13,4
2013-03-11,93,108,95,95,13,26,26,4
2013-03-18,99,76,96,94,13,27,13,4
2013-03-20,79,88,93,93,13,15,15,4
2013-03-22,86,117,100,101,13,20,20,4
2013-03-24,100,102,90,89,13,22,22,4
2013-03-28,103,117,97,98,13,11,11,4
2013-03-30,104,112,95,96,13,5,5,4
2013-04-05,107,111,94,93,13,2,2,4
2013-04-07,92,95,91,91,13,19,19,4
2013-04-15,119,112,105,105,13,9,13,4
2012-10-31,113,94,99,100,17,23,17,4
2012-11-07,95,86,92,93,17,27,17,4
2012-11-10,94,81,92,91,17,13,17,4
2012-11-19,102,91,99,97,17,9,17,4
2012-11-23,104,102,89,89,17,11,17,4
2012-11-26,105,103,86,86,17,26,17,4
2012-12-03,104,105,88,89,17,12,12,4
2012-12-05,87,81,91,90,17,6,17,4
2012-12-07,131,99,99,99,17,8,17,4
2012-12-12,99,96,93,93,17,10,17,4
2012-12-15,86,99,89,88,17,21,21,4
2012-12-26,83,94,91,91,17,2,2,4
2012-12-28,114,116,95,96,17,12,12,4
2013-01-02,106,84,92,91,17,20,17,4
2013-01-07,100,94,92,92,17,23,17,4
2013-01-14,104,97,85,84,17,24,17,4
2013-01-19,109,98,91,91,17,28,17,4
2013-01-23,92,88,97,97,17,15,17,4
2013-01-26,114,110,95,94,17,5,17,4
2013-01-28,80,125,91,91,17,9,9,4
2013-01-30,104,99,92,93,17,19,17,4
2013-02-01,86,77,88,88,17,16,17,4
2013-02-04,98,91,94,93,17,11,17,4
2013-02-06,100,86,97,95,17,18,17,4
2013-02-08,89,93,80,81,17,25,25,4
2013-02-12,109,94,92,93,17,29,17,4
2013-02-19,115,101,92,93,17,2,17,4
2013-02-25,107,110,96,97,17,1,1,4
2013-02-27,91,102,89,89,17,30,30,4
2013-03-01,98,68,89,89,17,3,17,4
2013-03-11,103,90,86,85,17,4,17,4
2013-03-16,90,84,86,85,17,21,17,4
2013-03-18,83,90,84,84,17,7,7,4
2013-03-25,107,91,92,92,17,14,17,4
2013-03-27,103,88,93,93,17,13,17,4
2013-03-30,116,107,91,92,17,22,17,4
2013-04-01,112,102,87,88,17,16,17,4
2013-04-03,96,113,92,92,17,26,26,4
2013-04-05,95,83,88,88,17,19,17,4
2013-04-09,80,90,91,90,17,29,29,4
2013-04-12,107,100,89,88,17,20,17,4
2012-11-26,96,89,92,91,22,7,22,4
2012-11-03,107,100,97,97,22,8,22,4
2012-11-05,96,107,87,85,22,20,20,4
2012-11-11,82,74,89,90,22,6,22,4
2012-11-13,114,101,92,92,22,28,22,4
2012-11-15,102,97,88,89,22,1,22,4
2012-11-23,86,76,84,83,22,12,22,4
2012-11-25,98,85,90,89,22,16,22,4
2012-12-04,111,117,92,92,22,29,29,4
2012-12-07,102,109,90,90,22,2,2,4
2012-12-09,88,97,96,95,22,18,18,4
2012-12-11,97,100,84,84,22,7,7,4
2012-12-14,107,105,97,98,22,4,22,4
2012-12-18,90,92,87,86,22,17,17,4
2012-12-23,95,92,87,85,22,14,22,4
2012-12-25,76,93,85,85,22,1,1,4
2012-12-28,97,81,85,86,22,3,22,4
2012-12-29,103,100,94,95,22,28,22,4
2013-01-05,113,93,84,83,22,11,22,4
2013-01-11,99,79,87,88,22,13,22,4
2013-01-13,97,86,88,87,22,5,22,4
2013-01-15,113,106,90,90,22,8,22,4
2013-01-18,94,89,92,92,22,30,22,4
2013-01-28,97,77,86,87,22,6,22,4
2013-01-30,85,105,89,89,22,24,24,4
2013-02-01,93,89,87,88,22,25,22,4
2013-02-05,83,92,92,92,22,27,27,4
2013-02-10,86,111,84,84,22,10,10,4
2013-02-13,119,108,90,90,22,26,22,4
2013-02-19,113,111,99,97,22,18,22,4
2013-02-22,96,106,90,89,22,9,9,4
2013-02-24,72,76,80,79,22,21,21,4
2013-03-01,90,98,92,92,22,23,23,4
2013-03-08,95,78,94,94,22,15,22,4
2013-03-12,108,98,85,84,22,19,22,4
2013-03-17,93,105,90,90,22,30,30,4
2013-04-04,90,92,91,90,22,25,25,4
2013-04-06,105,96,91,92,22,3,22,4
2013-04-09,104,83,91,90,22,14,22,4
2013-04-15,106,101,93,91,22,15,22,4
2013-04-17,103,99,101,101,22,4,22,4
2012-11-02,106,92,95,96,29,16,29,4
2012-11-04,95,104,91,90,29,30,30,4
2012-11-06,108,88,100,99,29,8,29,4
2012-11-09,105,94,92,93,29,4,29,4
2012-11-11,106,91,99,97,29,28,29,4
2012-11-14,97,107,89,89,29,21,21,4
2012-11-18,119,109,96,95,29,2,29,4
2012-11-21,117,111,102,102,29,12,29,4
2012-11-26,114,69,92,93,29,3,29,4
2012-11-28,120,98,95,94,29,9,29,4
2012-11-30,106,94,94,94,29,17,29,4
2012-12-07,114,108,97,96,29,27,29,4
2012-12-09,104,93,86,85,29,5,29,4
2012-12-12,92,88,86,85,29,19,29,4
2012-12-14,113,103,93,93,29,11,29,4
2012-12-17,107,93,95,95,29,10,29,4
2012-12-27,111,105,99,102,29,23,29,4
2012-12-31,114,96,90,89,29,13,29,4
2013-01-02,93,110,91,92,29,22,22,4
2013-01-04,109,85,94,94,29,14,29,4
2013-01-09,106,84,91,89,29,20,29,4
2013-01-16,117,97,94,93,29,26,29,4
2013-01-31,106,89,93,92,29,21,29,4
2013-02-04,112,91,98,99,29,23,29,4
2013-02-06,119,98,103,104,29,2,29,4
2013-02-08,127,96,93,94,29,13,29,4
2013-02-14,100,110,97,98,29,24,24,4
2013-02-22,127,111,98,98,29,20,29,4
2013-02-24,102,72,92,94,29,25,29,4
2013-02-27,119,74,85,85,29,19,29,4
2013-03-05,122,105,95,93,29,27,29,4
2013-03-10,91,79,94,94,29,1,29,4
2013-03-13,110,87,97,97,29,17,29,4
2013-03-15,117,104,103,103,29,6,29,4
2013-03-19,104,114,101,101,29,26,26,4
2013-03-24,103,83,89,91,29,16,29,4
2013-03-27,103,80,91,91,29,15,29,4
2013-04-04,100,88,90,90,29,10,29,4
2013-04-07,120,125,91,90,29,7,7,4
2013-04-15,104,95,93,92,29,11,29,4
2013-04-17,89,95,88,88,29,18,18,4
2012-11-03,86,89,91,92,15,1,1,4
2012-11-09,91,101,97,98,15,18,18,4
2012-11-17,76,83,86,86,15,17,17,4
2012-11-19,89,96,92,92,15,5,5,4
2012-11-24,106,108,106,105,15,3,3,4
2012-11-26,92,118,93,93,15,10,10,4
2012-11-28,84,82,82,83,15,16,15,4
2012-12-04,105,101,95,94,15,24,15,4
2012-12-08,97,101,98,99,15,2,2,4
2012-12-14,96,102,95,94,15,27,27,4
2012-12-18,95,100,100,100,15,30,30,4
2012-12-22,87,96,94,94,15,4,4,4
2012-12-26,84,87,87,88,15,28,28,4
2012-12-28,105,97,95,94,15,6,15,4
2013-01-01,94,103,92,93,15,23,23,4
2013-01-04,113,115,111,109,15,22,22,4
2013-01-07,101,99,91,92,15,29,15,4
2013-01-12,93,83,94,94,15,30,15,4
2013-01-14,120,91,94,94,15,6,15,4
2013-01-25,114,101,99,98,15,20,15,4
2013-01-26,86,73,86,88,15,25,15,4
2013-01-28,94,96,93,94,15,11,11,4
2013-02-04,98,90,94,94,15,12,15,4
2013-02-06,106,96,88,87,15,7,15,4
2013-02-08,89,74,92,91,15,22,15,4
2013-02-19,88,96,93,95,15,8,8,4
2013-02-22,119,113,101,100,15,26,15,4
2013-02-23,105,103,91,91,15,9,15,4
2013-02-27,95,96,90,90,15,4,4,4
2013-03-01,88,96,91,91,15,7,7,4
2013-03-03,90,87,90,90,15,14,15,4
2013-03-09,104,87,93,91,15,3,15,4
2013-03-13,106,93,95,94,15,18,15,4
2013-03-15,96,87,85,83,15,19,15,4
2013-03-16,127,105,94,93,15,13,15,4
2013-03-25,107,94,95,94,15,21,15,4
2013-03-31,109,92,91,93,15,8,15,4
2013-04-02,90,86,88,90,15,25,15,4
2013-04-06,104,85,94,92,15,5,15,4
2013-04-10,98,103,95,94,15,24,24,4
2013-04-12,86,97,97,95,15,14,14,4
2012-11-03,105,102,101,101,18,28,18,4
2012-11-07,90,108,90,90,18,21,21,4
2012-11-10,92,96,92,94,18,1,1,4
2012-11-14,99,85,93,93,18,5,18,4
2012-11-17,117,113,97,96,18,19,18,4
2012-11-24,86,93,89,88,18,25,25,4
2012-11-28,88,102,92,90,18,7,7,4
2012-12-01,91,88,92,93,18,1,18,4
2012-12-07,108,93,93,92,18,3,18,4
