game_date,offposs,points,fg_two_m,fg_two_a,fg_two_pct,fg_three_m,fg_three_a,fg_three_pct,ftpoints,tspct,home_id,team_id,assists,rebounds,defrebounds,offrebounds
2012-11-02,95,106,34,67,0.51,5,9,0.56,23,0.58,29,29,18,49,41,8
2012-11-04,91,95,24,49,0.49,9,22,0.41,20,0.59,29,29,27,41,31,10
2012-11-06,100,108,26,49,0.53,9,25,0.36,29,0.59,29,29,24,50,42,8
2012-11-09,92,105,30,51,0.59,8,20,0.40,21,0.63,29,29,21,39,31,8
2012-11-11,99,106,33,58,0.57,7,15,0.47,19,0.65,29,29,20,47,41,6
2012-11-14,89,97,29,59,0.49,6,13,0.46,21,0.57,29,29,23,41,31,10
2012-11-18,96,119,29,63,0.46,13,20,0.65,22,0.63,29,29,31,42,31,11
2012-11-21,102,117,25,56,0.45,11,23,0.48,34,0.60,29,29,20,51,37,14
2012-11-26,92,114,27,51,0.53,13,27,0.48,21,0.65,29,29,31,58,46,12
2012-11-28,95,120,38,65,0.58,9,22,0.41,17,0.63,29,29,26,52,34,18
2012-11-30,94,106,35,66,0.53,4,9,0.44,24,0.58,29,29,21,50,33,17
2012-12-07,97,114,32,67,0.48,9,17,0.53,23,0.59,29,29,22,45,31,14
2012-12-09,86,104,32,57,0.56,5,19,0.26,25,0.57,29,29,16,47,35,12
2012-12-12,86,92,26,56,0.46,5,15,0.33,25,0.54,29,29,19,45,36,9
2012-12-14,93,113,32,62,0.52,9,21,0.43,22,0.60,29,29,29,50,31,19
2012-12-17,95,107,34,71,0.48,4,14,0.29,27,0.54,29,29,22,50,34,16
2012-12-27,99,111,29,68,0.43,10,25,0.40,23,0.53,29,29,23,58,41,17
2012-12-31,90,114,39,72,0.54,5,15,0.33,21,0.58,29,29,23,44,30,14
2013-01-02,91,93,28,54,0.52,8,19,0.42,13,0.57,29,29,22,38,30,8
2013-01-04,94,109,29,58,0.50,10,17,0.59,21,0.63,29,29,18,48,38,10
2013-01-09,91,106,25,56,0.45,11,20,0.55,23,0.60,29,29,19,43,31,12
2013-01-16,94,117,35,66,0.53,9,19,0.47,20,0.60,29,29,24,42,25,17
2013-01-31,93,106,35,58,0.60,5,14,0.36,21,0.65,29,29,25,47,41,6
2013-02-04,98,112,31,62,0.50,10,25,0.40,20,0.57,29,29,25,53,41,12
2013-02-06,103,119,40,72,0.56,8,23,0.35,15,0.57,29,29,29,54,43,11
2013-02-08,93,127,36,66,0.55,14,21,0.67,13,0.66,29,29,29,44,33,11
2013-02-14,97,100,29,60,0.48,3,13,0.23,33,0.56,29,29,16,43,36,7
2013-02-22,98,127,39,69,0.57,9,14,0.64,22,0.69,29,29,28,48,36,12
2013-02-24,92,102,30,62,0.48,6,17,0.35,24,0.56,29,29,17,55,41,14
2013-02-27,85,119,34,58,0.59,8,18,0.44,27,0.66,29,29,27,53,37,16
2013-03-05,95,122,38,73,0.52,8,23,0.35,22,0.57,29,29,20,47,32,15
2013-03-10,94,91,26,52,0.50,4,16,0.25,27,0.55,29,29,21,44,39,5
2013-03-13,97,110,30,53,0.57,7,16,0.44,29,0.65,29,29,20,52,41,11
2013-03-15,103,117,38,63,0.60,4,13,0.31,29,0.61,29,29,21,54,44,10
2013-03-19,101,104,33,60,0.55,4,25,0.16,26,0.52,29,29,21,46,33,13
2013-03-24,89,103,39,71,0.55,4,11,0.36,13,0.57,29,29,23,49,38,11
2013-03-27,91,103,21,49,0.43,8,14,0.57,37,0.62,29,29,20,46,37,9
2013-04-04,90,100,26,58,0.45,12,24,0.50,12,0.57,29,29,21,51,41,10
2013-04-07,91,120,36,61,0.59,9,17,0.53,21,0.66,29,29,23,38,27,11
2013-04-15,93,104,37,69,0.54,5,23,0.22,15,0.51,29,29,23,50,33,17
2013-04-17,88,89,34,68,0.50,3,21,0.14,12,0.47,29,29,16,46,33,13
2011-12-25,93,97,24,53,0.45,10,19,0.53,19,0.58,29,29,21,44,37,7
2011-12-29,95,104,31,49,0.63,6,14,0.43,24,0.68,29,29,19,42,36,6
2011-12-31,95,107,32,55,0.58,9,22,0.41,16,0.63,29,29,25,51,40,11
2012-01-03,89,93,31,63,0.49,5,20,0.25,16,0.50,29,29,22,45,32,13
2012-01-06,92,109,36,66,0.55,6,14,0.43,19,0.60,29,29,20,45,34,11
2012-01-08,95,108,31,56,0.55,7,19,0.37,25,0.61,29,29,25,49,42,7
2012-01-14,98,104,27,53,0.51,7,18,0.39,29,0.59,29,29,18,40,32,8
2012-01-23,94,99,34,61,0.56,7,16,0.44,10,0.59,29,29,21,54,45,9
2012-01-25,93,101,29,51,0.57,5,13,0.38,28,0.63,29,29,21,39,31,8
2012-02-03,91,101,27,54,0.50,7,17,0.41,26,0.57,29,29,14,41,27,14
2012-02-14,90,111,37,63,0.59,5,14,0.36,22,0.60,29,29,24,54,38,16
2012-02-17,94,110,29,50,0.58,10,24,0.42,22,0.64,29,29,24,51,38,13
2012-02-19,104,124,37,66,0.56,9,28,0.32,23,0.57,29,29,20,47,30,17
2012-02-20,98,101,28,54,0.52,8,26,0.31,21,0.56,29,29,15,49,39,10
2012-02-22,101,119,33,65,0.51,9,19,0.47,26,0.60,29,29,22,49,35,14
2012-02-23,92,100,29,52,0.56,7,25,0.28,21,0.57,29,29,17,45,37,8
2012-03-05,91,95,21,49,0.43,8,27,0.30,29,0.52,29,29,13,49,34,15
2012-03-07,100,115,32,65,0.49,8,26,0.31,27,0.55,29,29,18,52,33,19
2012-03-09,92,90,31,52,0.60,6,24,0.25,10,0.54,29,29,20,42,33,9
2012-03-10,92,122,36,50,0.72,10,23,0.43,20,0.71,29,29,27,43,37,6
2012-03-13,92,103,31,61,0.51,8,23,0.35,17,0.54,29,29,22,52,35,17
2012-03-16,98,105,30,63,0.48,9,25,0.36,18,0.54,29,29,17,42,29,13
2012-03-18,89,111,30,56,0.54,11,18,0.61,18,0.63,29,29,24,46,34,12
2012-03-21,91,114,33,56,0.59,9,22,0.41,21,0.65,29,29,20,53,39,14
2012-03-23,119,149,50,86,0.58,10,27,0.37,19,0.62,29,29,24,54,40,14
2012-03-25,91,103,33,63,0.52,6,11,0.55,19,0.61,29,29,26,40,31,9
2012-04-01,89,92,32,65,0.49,4,9,0.44,16,0.56,29,29,20,46,39,7
2012-04-02,90,88,28,52,0.54,5,21,0.24,17,0.51,29,29,14,48,37,11
2012-04-08,89,91,20,49,0.41,10,23,0.43,21,0.54,29,29,18,45,34,11
2012-04-11,88,98,19,50,0.38,12,26,0.46,24,0.55,29,29,21,43,31,12
2012-04-13,102,115,38,78,0.49,5,12,0.42,24,0.55,29,29,19,60,44,16
2012-04-24,96,118,29,61,0.48,9,20,0.45,33,0.60,29,29,22,47,32,15
2012-04-25,90,101,29,55,0.53,10,24,0.42,13,0.59,29,29,18,44,31,13
2014-11-01,94,102,31,60,0.52,6,20,0.30,22,0.54,29,29,24,48,36,12
2014-11-07,87,89,25,54,0.46,12,25,0.48,3,0.53,29,29,16,53,40,13
2014-11-09,89,101,30,60,0.50,6,18,0.33,23,0.55,29,29,16,46,34,12
2014-11-14,96,89,26,60,0.43,12,36,0.33,1,0.45,29,29,23,49,35,14
2014-11-16,85,65,17,49,0.35,3,19,0.16,22,0.40,29,29,14,50,38,12
2014-11-21,89,92,34,65,0.52,4,20,0.20,12,0.49,29,29,18,41,25,16
2014-11-23,96,86,29,73,0.40,3,17,0.18,19,0.41,29,29,13,61,46,15
2014-11-26,92,97,28,57,0.49,12,26,0.46,5,0.56,29,29,21,48,35,13
2014-11-28,91,105,28,62,0.45,10,24,0.42,19,0.54,29,29,20,62,41,21
2014-12-09,100,114,37,61,0.61,4,21,0.19,28,0.58,29,29,23,58,40,18
2014-12-11,98,103,31,61,0.51,7,26,0.27,20,0.53,29,29,22,52,40,12
2014-12-14,99,112,35,62,0.56,4,18,0.22,30,0.58,29,29,20,66,50,16
2014-12-21,92,99,33,63,0.52,5,20,0.25,18,0.53,29,29,17,50,32,18
2014-12-23,103,111,40,82,0.49,6,19,0.32,13,0.52,29,29,20,56,41,15
2014-12-26,96,98,28,61,0.46,8,27,0.30,18,0.50,29,29,18,58,44,14
